region,freq,area (km^2)
Albania,1,"28,748"
Algeria,2,"2,381,741"
American Samoa,1,199
Antigua,1,442.6
Argentina,3,"2,780,400"
Australia,35,"7,692,024"
Austria,3,"83,879"
Bahamas,2,"13,878"
Barbuda,1,160.56
Belgium,1,"30,528"
Belize,1,"22,966"
Bermuda,4,53.2
Bolivia,1,"1,098,581"
Bonaire,1,294
Brazil,14,"8,514,877"
Cameroon,1,"475,440"
Canada,9,"9,984,671"
Cape Verde,1,"4,033"
Cayman Islands,1,264
Chile,2,"756,096.30"
China,7,"9,596,960"
Christmas Island,2,135
Colombia,5,"1,141,748"
Cook Islands,16,240
Costa Rica,3,"51,100"
Croatia,1,"56,594"
Cuba,11,"109,884"
Democratic Republic of the Congo,2,"2,345,409"
Dominica,1,750
Dominican Republic,9,"48,442"
Ecuador,9,"283,560"
Egypt,1,"1,001,449"
Falkland Islands,1,"12,200"
Faroe Islands,1,"1,399"
Fiji,2,"18,274"
France,9,"643,801"
French Polynesia,62,"4,167"
Germany,4,"357,022"
Greece,1,"131,957"
Greenland,1,"2,166,086"
Grenadines,1,86
Guadeloupe,6,"1,628"
Guam,3,210
Guatemala,1,"108,889"
Haiti,10,"27,750"
Honduras,3,"112,492"
Iceland,1,"103,001"
India,6,"3,287,263"
Indonesia,3,"1,904,569"
Ireland,1,"84,421"
Israel,4,"20,770"
Italy,3,"301,340"
Ivory Coast,2,"322,463"
Jamaica,6,"10,991"
Japan,13,"377,972.28"
Kenya,2,"582,650"
Kiribati,1,811
Kuwait,1,"17,820"
Macedonia,2,"67,000"
Madagascar,11,"587,041"
Malaysia,3,"330,803"
Martinique,6,"1,128"
Mauritius,46,"2,040"
Mayotte,5,374
Mexico,25,"1,972,550"
Micronesia,2,"2,700"
Moldova,1,"33,846"
Montenegro,1,"13,812"
Morocco,2,"710,850"
Namibia,1,"825,615"
Netherlands,1,"41,543"
Nevis,1,93
New Caledonia,8,"18,576"
New Zealand,28,"268,021"
Nicaragua,1,"130,375"
Norfolk Island,9,35
North Korea,1,"120,540"
Palau,1,466
Papua New Guinea,1,"462,840"
Peru,2,"1,285,215.60"
Poland,1,"312,679"
Portugal,3,"92,212"
Puerto Rico,5,"9,104"
Reunion,16,"2,511"
Romania,2,"238,391"
Russia,3,"17,075,200"
Rwanda,1,"26,338"
Saba,1,13
Saint Helena,34,121
Saint Kitts,1,174
Saint Lucia,1,617
Saint Vincent,1,389
Saudi Arabia,1,"2,149,690"
Seychelles,22,459
Singapore,1,719
Sint Eustatius,1,21
Solomon Islands,2,"28,400"
South Africa,5,"1,221,037"
South Korea,1,"100,210"
Spain,3,"505,990"
Sri Lanka,21,"65,610"
Switzerland,6,"41,293.20"
Syria,1,"185,180"
Tanzania,1,"947,303"
Thailand,2,"513,120"
Tonga,2,748
Tunisia,11,"163,610"
Turkey,4,"783,562"
Uganda,1,"241,038"
UK,2,"242,495"
Ukraine,4,"603,500"
Uruguay,1,"176,215"
USA,257,"3,796,742"
Vanuatu,1,"12,189"
Venezuela,1,"916,445"
Virgin Islands,2,346
Yemen,5,"528,076"
